freq_hz,angle_deg,spl_db
2000,-180,77.0779482869
2000,-174,77.0754098148
2000,-168,77.0679038889
2000,-162,77.0557544434
2000,-156,77.0394863988
2000,-150,77.0198037571
2000,-144,76.9975600314
2000,-138,76.9737221004
2000,-132,76.9493288671
2000,-126,76.925446371
2000,-120,76.9031212205
2000,-114,76.8833343726
2000,-108,76.8669573583
2000,-102,76.8547130216
2000,-96,76.8471426911
2000,-90,76.8445814376
2000,-84,76.8471426911
2000,-78,76.8547130216
2000,-72,76.8669573583
2000,-66,76.8833343726
2000,-60,76.9031212205
2000,-54,76.925446371
2000,-48,76.9493288671
2000,-42,76.9737221004
2000,-36,76.9975600314
2000,-30,77.0198037571
2000,-24,77.0394863988
2000,-18,77.0557544434
2000,-12,77.0679038889
2000,-6,77.0754098148
2000,0,77.0779482869
2000,6,77.0754098148
2000,12,77.0679038889
2000,18,77.0557544434
2000,24,77.0394863988
2000,30,77.0198037571
2000,36,76.9975600314
2000,42,76.9737221004
2000,48,76.9493288671
2000,54,76.925446371
2000,60,76.9031212205
2000,66,76.8833343726
2000,72,76.8669573583
2000,78,76.8547130216
2000,84,76.8471426911
2000,90,76.8445814376
2000,96,76.8471426911
2000,102,76.8547130216
2000,108,76.8669573583
2000,114,76.8833343726
2000,120,76.9031212205
2000,126,76.925446371
2000,132,76.9493288671
2000,138,76.9737221004
2000,144,76.9975600314
2000,150,77.0198037571
2000,156,77.0394863988
2000,162,77.0557544434
2000,168,77.0679038889
2000,174,77.0754098148
2000,180,77.0779482869
