freq_hz,angle_deg,spl_db
2000,-180,62.3680792829
2000,-174,62.6773814073
2000,-168,62.9334236666
2000,-162,63.1199716542
2000,-156,63.2360176476
2000,-150,63.2907029533
2000,-144,63.2997624473
2000,-138,63.2830108267
2000,-132,63.2620851351
2000,-126,63.2578041113
2000,-120,63.2869818205
2000,-114,63.3592397847
2000,-108,63.4749152398
2000,-102,63.6250389045
2000,-96,63.7934718463
2000,-90,63.9602897411
2000,-84,64.1051465679
2000,-78,64.2097554986
2000,-72,64.2593202492
2000,-66,64.2432749646
2000,-60,64.1559106733
2000,-54,63.9974511323
2000,-48,63.7759402049
2000,-42,63.5098242003
2000,-36,63.2301367588
2000,-30,62.9796971873
2000,-24,62.8058064765
2000,-18,62.7454174845
2000,-12,62.8090352008
2000,-6,62.9748907849
2000,0,63.1984457641
2000,6,63.4295345106
2000,12,63.626025501
2000,18,63.7596882579
2000,24,63.8163339976
2000,30,63.7937099525
2000,36,63.6993850876
2000,42,63.5494218053
2000,48,63.3676231582
2000,54,63.1844108146
2000,60,63.0338960583
2000,66,62.9479621969
2000,72,62.9479071157
2000,78,63.0369305008
2000,84,63.1978324431
2000,90,63.3975124431
2000,96,63.5954609335
2000,102,63.7518592401
2000,108,63.8328630202
2000,114,63.813291243
2000,120,63.6782450862
2000,126,63.4252275253
2000,132,63.0677949592
2000,138,62.6406520238
2000,144,62.2035570015
2000,150,61.8370572076
2000,156,61.6213216804
2000,162,61.6010820752
2000,168,61.7621241768
2000,174,62.0427597316
2000,180,62.3680792829
