freq_hz,angle_deg,spl_db
200,-180,40.9333942751
200,-179,40.9437005073
200,-178,40.9537660471
200,-177,40.9635794362
200,-176,40.9731297126
200,-175,40.982406413
200,-174,40.9913995747
200,-173,41.0000997356
200,-172,41.0084979339
200,-171,41.0165857056
200,-170,41.0243550823
200,-169,41.0317985865
200,-168,41.0389092279
200,-167,41.0456804971
200,-166,41.0521063595
200,-165,41.0581812486
200,-164,41.0639000578
200,-163,41.0692581326
200,-162,41.0742512616
200,-161,41.0788756669
200,-160,41.0831279948
200,-159,41.0870053051
200,-158,41.0905050608
200,-157,41.093625117
200,-156,41.0963637097
200,-155,41.0987194441
200,-154,41.1006912832
200,-153,41.1022785353
200,-152,41.1034808424
200,-151,41.1042981675
200,-150,41.1047307822
200,-149,41.1047792544
200,-148,41.1044444354
200,-147,41.1037274474
200,-146,41.1026296711
200,-145,41.1011527322
200,-144,41.0992984898
200,-143,41.0970690229
200,-142,41.0944666182
200,-141,41.0914937575
200,-140,41.0881531056
200,-139,41.0844474973
200,-138,41.0803799263
200,-137,41.075953532
200,-136,41.0711715886
200,-135,41.0660374933
200,-134,41.0605547543
200,-133,41.0547269803
200,-132,41.0485578694
200,-131,41.042051198
200,-130,41.0352108112
200,-129,41.0280406119
200,-128,41.0205445517
200,-127,41.0127266214
200,-126,41.0045908417
200,-125,40.9961412551
200,-124,40.9873819172
200,-123,40.9783168897
200,-122,40.9689502323
200,-121,40.9592859968
200,-120,40.94932822
200,-119,40.9390809189
200,-118,40.9285480847
200,-117,40.917733679
200,-116,40.9066416294
200,-115,40.8952758262
200,-114,40.8836401199
200,-113,40.8717383193
200,-112,40.8595741897
200,-111,40.8471514528
200,-110,40.8344737869
200,-109,40.821544827
200,-108,40.8083681676
200,-107,40.794947364
200,-106,40.7812859363
200,-105,40.7673873728
200,-104,40.7532551352
200,-103,40.7388926642
200,-102,40.7243033857
200,-101,40.7094907179
200,-100,40.6944580798
200,-99,40.6792088999
200,-98,40.6637466255
200,-97,40.6480747335
200,-96,40.6321967417
200,-95,40.6161162204
200,-94,40.5998368054
200,-93,40.5833622113
200,-92,40.5666962457
200,-91,40.5498428239
200,-90,40.5328059841
200,-89,40.5155899039
200,-88,40.498198916
200,-87,40.4806375257
200,-86,40.4629104281
200,-85,40.4450225257
200,-84,40.4269789466
200,-83,40.4087850629
200,-82,40.3904465085
200,-81,40.3719691982
200,-80,40.3533593462
200,-79,40.3346234839
200,-78,40.3157684786
200,-77,40.2968015514
200,-76,40.2777302947
200,-75,40.258562689
200,-74,40.23930712
200,-73,40.2199723936
200,-72,40.2005677516
200,-71,40.1811028851
200,-70,40.1615879479
200,-69,40.142033568
200,-68,40.1224508583
200,-67,40.1028514254
200,-66,40.0832473773
200,-65,40.0636513288
200,-64,40.044076406
200,-63,40.0245362479
200,-62,40.0050450065
200,-61,39.9856173445
200,-60,39.9662684309
200,-59,39.9470139339
200,-58,39.9278700114
200,-57,39.9088532992
200,-56,39.889980896
200,-55,39.8712703459
200,-54,39.8527396179
200,-53,39.8344070829
200,-52,39.8162914871
200,-51,39.7984119233
200,-50,39.7807877982
200,-49,39.7634387979
200,-48,39.7463848495
200,-47,39.7296460803
200,-46,39.7132427742
200,-45,39.6971953254
200,-44,39.6815241891
200,-43,39.6662498307
200,-42,39.6513926716
200,-41,39.6369730335
200,-40,39.6230110808
200,-39,39.6095267617
200,-38,39.5965397467
200,-37,39.5840693675
200,-36,39.5721345539
200,-35,39.560753771
200,-34,39.5499449556
200,-33,39.5397254532
200,-32,39.5301119555
200,-31,39.5211204383
200,-30,39.5127661015
200,-29,39.5050633098
200,-28,39.4980255363
200,-27,39.4916653074
200,-26,39.4859941518
200,-25,39.481022551
200,-24,39.4767598947
200,-23,39.4732144384
200,-22,39.4703932662
200,-21,39.4683022574
200,-20,39.466946057
200,-19,39.4663280519
200,-18,39.466450351
200,-17,39.4673137706
200,-16,39.468917825
200,-15,39.4712607216
200,-14,39.474339362
200,-13,39.4781493469
200,-12,39.4826849873
200,-11,39.4879393194
200,-10,39.4939041254
200,-9,39.5005699576
200,-8,39.507926168
200,-7,39.5159609411
200,-6,39.5246613314
200,-5,39.534013304
200,-4,39.5440017781
200,-3,39.5546106746
200,-2,39.565822965
200,-1,39.5776207238
200,0,39.5899851818
200,1,39.6028967818
200,2,39.6163352351
200,3,39.6302795793
200,4,39.644708236
200,5,39.6595990699
200,6,39.6749294468
200,7,39.6906762919
200,8,39.7068161475
200,9,39.7233252293
200,10,39.7401794826
200,11,39.7573546364
200,12,39.7748262566
200,13,39.7925697972
200,14,39.8105606498
200,15,39.8287741917
200,16,39.8471858314
200,17,39.8657710524
200,18,39.8845054548
200,19,39.903364795
200,20,39.9223250226
200,21,39.941362316
200,22,39.9604531155
200,23,39.9795741538
200,24,39.9987024853
200,25,40.017815513
200,26,40.0368910131
200,27,40.0559071584
200,28,40.0748425396
200,29,40.0936761845
200,30,40.1123875766
200,31,40.1309566711
200,32,40.1493639101
200,33,40.1675902366
200,34,40.1856171068
200,35,40.2034265015
200,36,40.2210009368
200,37,40.2383234737
200,38,40.2553777265
200,39,40.2721478709
200,40,40.2886186517
200,41,40.3047753892
200,42,40.3206039858
200,43,40.3360909318
200,44,40.3512233113
200,45,40.3659888071
200,46,40.3803757064
200,47,40.3943729053
200,48,40.4079699141
200,49,40.4211568617
200,50,40.4339245006
200,51,40.4462642118
200,52,40.4581680091
200,53,40.4696285444
200,54,40.4806391123
200,55,40.4911936549
200,56,40.5012867667
200,57,40.5109136998
200,58,40.5200703686
200,59,40.5287533549
200,60,40.5369599128
200,61,40.5446879734
200,62,40.55193615
200,63,40.5587037425
200,64,40.5649907419
200,65,40.5707978348
200,66,40.5761264076
200,67,40.5809785496
200,68,40.5853570573
200,69,40.5892654365
200,70,40.5927079053
200,71,40.5956893958
200,72,40.5982155552
200,73,40.6002927466
200,74,40.6019280484
200,75,40.6031292537
200,76,40.6039048675
200,77,40.6042641041
200,78,40.6042168826
200,79,40.6037738218
200,80,40.602946233
200,81,40.6017461122
200,82,40.6001861304
200,83,40.5982796228
200,84,40.5960405759
200,85,40.593483613
200,86,40.5906239785
200,87,40.5874775195
200,88,40.5840606663
200,89,40.5803904105
200,90,40.5764842812
200,91,40.5723603193
200,92,40.5680370498
200,93,40.5635334514
200,94,40.5588689249
200,95,40.5540632591
200,96,40.5491365944
200,97,40.5441093844
200,98,40.5390023562
200,99,40.5338364673
200,100,40.5286328625
200,101,40.5234128268
200,102,40.5181977388
200,103,40.5130090207
200,104,40.5078680878
200,105,40.5027962966
200,106,40.4978148913
200,107,40.4929449501
200,108,40.4882073298
200,109,40.4836226105
200,110,40.4792110397
200,111,40.4749924767
200,112,40.4709863363
200,113,40.4672115339
200,114,40.4636864303
200,115,40.4604287786
200,116,40.4574556711
200,117,40.4547834882
200,118,40.4524278496
200,119,40.4504035667
200,120,40.4487245974
200,121,40.4474040043
200,122,40.4464539145
200,123,40.4458854832
200,124,40.4457088604
200,125,40.445933161
200,126,40.4465664383
200,127,40.4476156619
200,128,40.4490866984
200,129,40.4509842975
200,130,40.4533120813
200,131,40.4560725374
200,132,40.4592670176
200,133,40.4628957392
200,134,40.4669577913
200,135,40.4714511451
200,136,40.4763726679
200,137,40.4817181416
200,138,40.4874822839
200,139,40.4936587743
200,140,40.5002402825
200,141,40.5072185007
200,142,40.5145841786
200,143,40.5223271613
200,144,40.5304364294
200,145,40.5389001419
200,146,40.5477056807
200,147,40.5568396968
200,148,40.5662881585
200,149,40.5760364004
200,150,40.5860691731
200,151,40.5963706941
200,152,40.6069246991
200,153,40.617714493
200,154,40.6287230012
200,155,40.6399328205
200,156,40.6513262698
200,157,40.6628854392
200,158,40.6745922396
200,159,40.6864284498
200,160,40.6983757633
200,161,40.7104158334
200,162,40.7225303169
200,163,40.7347009158
200,164,40.7469094181
200,165,40.7591377359
200,166,40.7713679422
200,167,40.7835823058
200,168,40.7957633239
200,169,40.8078937531
200,170,40.819956638
200,171,40.8319353384
200,172,40.8438135537
200,173,40.8555753462
200,174,40.867205162
200,175,40.8786878498
200,176,40.8900086781
200,177,40.9011533508
200,178,40.9121080206
200,179,40.9228593006
200,180,40.9333942751
220.588662358,-180,42.0241960767
220.588662358,-179,42.0373080905
220.588662358,-178,42.0500725379
220.588662358,-177,42.0624772933
220.588662358,-176,42.074510903
