freq_hz,angle_deg,spl_db
1500,-45,81.3579598367
1500,-42.5,81.7061138858
1500,-40,82.1679263183
1500,-37.5,82.7144866743
1500,-35,83.2980585846
1500,-32.5,83.8646343776
1500,-30,84.3649061574
1500,-27.5,84.7601677769
1500,-25,85.0238878626
1500,-22.5,85.141207627
1500,-20,85.1081702826
1500,-17.5,84.9315967903
1500,-15,84.6298017184
1500,-12.5,84.2337432458
1500,-10,83.7875425544
1500,-7.5,83.3466743163
1500,-5,82.9721376264
1500,-2.5,82.7204065114
1500,0,82.6316466807
1500,2.5,82.7204065114
1500,5,82.9721376264
1500,7.5,83.3466743163
1500,10,83.7875425544
1500,12.5,84.2337432458
1500,15,84.6298017184
1500,17.5,84.9315967903
1500,20,85.1081702826
1500,22.5,85.141207627
1500,25,85.0238878626
1500,27.5,84.7601677769
1500,30,84.3649061574
1500,32.5,83.8646343776
1500,35,83.2980585846
1500,37.5,82.7144866743
1500,40,82.1679263183
1500,42.5,81.7061138858
1500,45,81.3579598367
1620.09619893,-45,83.7778314074
1620.09619893,-42.5,84.4130474333
1620.09619893,-40,85.0897998937
1620.09619893,-37.5,85.7634127687
1620.09619893,-35,86.3904810973
1620.09619893,-32.5,86.9345239738
1620.09619893,-30,87.3678075484
1620.09619893,-27.5,87.6710623102
1620.09619893,-25,87.8326012087
1620.09619893,-22.5,87.8477018135
1620.09619893,-20,87.7186350106
1620.09619893,-17.5,87.4554585438
1620.09619893,-15,87.0775084383
1620.09619893,-12.5,86.6152495451
1620.09619893,-10,86.1116571566
1620.09619893,-7.5,85.6216200811
1620.09619893,-5,85.20741184
1620.09619893,-2.5,84.9290158432
1620.09619893,0,84.8307398244
1620.09619893,2.5,84.9290158432
1620.09619893,5,85.20741184
1620.09619893,7.5,85.6216200811
1620.09619893,10,86.1116571566
1620.09619893,12.5,86.6152495451
1620.09619893,15,87.0775084383
1620.09619893,17.5,87.4554585438
1620.09619893,20,87.7186350106
1620.09619893,22.5,87.8477018135
1620.09619893,25,87.8326012087
1620.09619893,27.5,87.6710623102
1620.09619893,30,87.3678075484
1620.09619893,32.5,86.9345239738
1620.09619893,35,86.3904810973
1620.09619893,37.5,85.7634127687
1620.09619893,40,85.0897998937
1620.09619893,42.5,84.4130474333
1620.09619893,45,83.7778314074
1749.80779587,-45,80.0455575071
1749.80779587,-42.5,80.3716936859
1749.80779587,-40,80.9153526164
1749.80779587,-37.5,81.6528217043
1749.80779587,-35,82.5271445391
1749.80779587,-32.5,83.4622056448
1749.80779587,-30,84.3810487807
1749.80779587,-27.5,85.2196140408
1749.80779587,-25,85.9324990786
1749.80779587,-22.5,86.4928830745
1749.80779587,-20,86.8900974294
1749.80779587,-17.5,87.1271214263
1749.80779587,-15,87.2188173452
1749.80779587,-12.5,87.1907553622
1749.80779587,-10,87.0779207154
1749.80779587,-7.5,86.9223064563
1749.80779587,-5,86.7684797514
1749.80779587,-2.5,86.6569213684
1749.80779587,0,86.616273714
1749.80779587,2.5,86.6569213684
1749.80779587,5,86.7684797514
1749.80779587,7.5,86.9223064563
1749.80779587,10,87.0779207154
1749.80779587,12.5,87.1907553622
1749.80779587,15,87.2188173452
1749.80779587,17.5,87.1271214263
1749.80779587,20,86.8900974294
1749.80779587,22.5,86.4928830745
1749.80779587,25,85.9324990786
1749.80779587,27.5,85.2196140408
1749.80779587,30,84.3810487807
1749.80779587,32.5,83.4622056448
1749.80779587,35,82.5271445391
1749.80779587,37.5,81.6528217043
1749.80779587,40,80.9153526164
1749.80779587,42.5,80.3716936859
1749.80779587,45,80.0455575071
1889.9046393,-45,79.0294241647
1889.9046393,-42.5,79.4441236446
1889.9046393,-40,80.1658899293
1889.9046393,-37.5,81.0942451617
1889.9046393,-35,82.106658482
1889.9046393,-32.5,83.1093604749
1889.9046393,-30,84.0450772286
1889.9046393,-27.5,84.8816288233
1889.9046393,-25,85.6006078285
1889.9046393,-22.5,86.1914266567
1889.9046393,-20,86.6497076059
1889.9046393,-17.5,86.9778104079
1889.9046393,-15,87.1857691299
1889.9046393,-12.5,87.291545882
1889.9046393,-10,87.3199405735
1889.9046393,-7.5,87.2998723504
1889.9046393,-5,87.260300728
1889.9046393,-2.5,87.22570254
1889.9046393,0,87.212287511
1889.9046393,2.5,87.22570254
1889.9046393,5,87.260300728
1889.9046393,7.5,87.2998723504
1889.9046393,10,87.3199405735
1889.9046393,12.5,87.291545882
1889.9046393,15,87.1857691299
1889.9046393,17.5,86.9778104079
1889.9046393,20,86.6497076059
1889.9046393,22.5,86.1914266567
1889.9046393,25,85.6006078285
1889.9046393,27.5,84.8816288233
1889.9046393,30,84.0450772286
1889.9046393,32.5,83.1093604749
1889.9046393,35,82.106658482
1889.9046393,37.5,81.0942451617
1889.9046393,40,80.1658899293
1889.9046393,42.5,79.4441236446
1889.9046393,45,79.0294241647
2041.21821499,-45,68.3256182295
2041.21821499,-42.5,72.3150607278
2041.21821499,-40,75.6681017839
2041.21821499,-37.5,78.4277867613
2041.21821499,-35,80.6786203956
2041.21821499,-32.5,82.4948197676
2041.21821499,-30,83.9382169949
2041.21821499,-27.5,85.0622012131
2041.21821499,-25,85.9152293587
2041.21821499,-22.5,86.542999261
2041.21821499,-20,86.9892581942
2041.21821499,-17.5,87.295421037
2041.21821499,-15,87.4992988366
2041.21821499,-12.5,87.6333304409
2041.21821499,-10,87.7227894114
2041.21821499,-7.5,87.7845859118
2041.21821499,-5,87.82740525
2041.21821499,-2.5,87.8536316997
2041.21821499,0,87.8625899889
2041.21821499,2.5,87.8536316997
2041.21821499,5,87.82740525
2041.21821499,7.5,87.7845859118
2041.21821499,10,87.7227894114
2041.21821499,12.5,87.6333304409
