freq_hz,angle_deg,spl_db
1500,-45,79.6994985196
1500,-42.5,80.3863606274
1500,-40,81.0682382075
1500,-37.5,81.771375658
1500,-35,82.5137489162
1500,-32.5,83.3012653102
1500,-30,84.1276666681
1500,-27.5,84.9776722187
1500,-25,85.8313866886
1500,-22.5,86.6680190816
1500,-20,87.4680691723
1500,-17.5,88.2141777395
1500,-15,88.8912349418
1500,-12.5,89.486246985
1500,-10,89.9882158307
1500,-7.5,90.3880967996
1500,-5,90.6788116256
1500,-2.5,90.8552793747
1500,0,90.9144421837
1500,2.5,90.8552793747
1500,5,90.6788116256
1500,7.5,90.3880967996
1500,10,89.9882158307
1500,12.5,89.486246985
1500,15,88.8912349418
1500,17.5,88.2141777395
1500,20,87.4680691723
1500,22.5,86.6680190816
1500,25,85.8313866886
1500,27.5,84.9776722187
1500,30,84.1276666681
1500,32.5,83.3012653102
1500,35,82.5137489162
1500,37.5,81.771375658
1500,40,81.0682382075
1500,42.5,80.3863606274
1500,45,79.6994985196
1575.31661946,-45,81.9277993832
1575.31661946,-42.5,82.5310856503
1575.31661946,-40,83.1002538239
1575.31661946,-37.5,83.6188092181
1575.31661946,-35,84.0712873799
1575.31661946,-32.5,84.4445393025
1575.31661946,-30,84.7287803227
1575.31661946,-27.5,84.9184888021
1575.31661946,-25,85.0132415292
1575.31661946,-22.5,85.0184935764
1575.31661946,-20,84.9461451352
1575.31661946,-17.5,84.8145043342
1575.31661946,-15,84.6470580875
1575.31661946,-12.5,84.4695595707
1575.31661946,-10,84.3056391147
1575.31661946,-7.5,84.172359276
1575.31661946,-5,84.0779421452
1575.31661946,-2.5,84.0231193067
1575.31661946,0,84.0053328063
1575.31661946,2.5,84.0231193067
1575.31661946,5,84.0779421452
1575.31661946,7.5,84.172359276
1575.31661946,10,84.3056391147
1575.31661946,12.5,84.4695595707
1575.31661946,15,84.6470580875
1575.31661946,17.5,84.8145043342
1575.31661946,20,84.9461451352
1575.31661946,22.5,85.0184935764
1575.31661946,25,85.0132415292
1575.31661946,27.5,84.9184888021
1575.31661946,30,84.7287803227
1575.31661946,32.5,84.4445393025
1575.31661946,35,84.0712873799
1575.31661946,37.5,83.6188092181
1575.31661946,40,83.1002538239
1575.31661946,42.5,82.5310856503
1575.31661946,45,81.9277993832
1654.41496769,-45,81.7039211006
1654.41496769,-42.5,82.4161314155
1654.41496769,-40,83.1274463846
1654.41496769,-37.5,83.81140852
1654.41496769,-35,84.4427571692
1654.41496769,-32.5,84.9995546858
1654.41496769,-30,85.4645123503
1654.41496769,-27.5,85.8257546996
1654.41496769,-25,86.0773043714
1654.41496769,-22.5,86.2194905552
1654.41496769,-20,86.2593306308
1654.41496769,-17.5,86.2107304372
1654.41496769,-15,86.094127887
1654.41496769,-12.5,85.9350762852
1654.41496769,-10,85.7614417376
1654.41496769,-7.5,85.5995485107
1654.41496769,-5,85.4705106301
1654.41496769,-2.5,85.3883088338
1654.41496769,0,85.3601971169
1654.41496769,2.5,85.3883088338
1654.41496769,5,85.4705106301
1654.41496769,7.5,85.5995485107
1654.41496769,10,85.7614417376
1654.41496769,12.5,85.9350762852
1654.41496769,15,86.094127887
1654.41496769,17.5,86.2107304372
1654.41496769,20,86.2593306308
1654.41496769,22.5,86.2194905552
1654.41496769,25,86.0773043714
1654.41496769,27.5,85.8257546996
1654.41496769,30,85.4645123503
1654.41496769,32.5,84.9995546858
1654.41496769,35,84.4427571692
1654.41496769,37.5,83.81140852
1654.41496769,40,83.1274463846
1654.41496769,42.5,82.4161314155
1654.41496769,45,81.7039211006
1737.48492938,-45,81.8408302688
1737.48492938,-42.5,82.5786338037
1737.48492938,-40,83.3513540398
1737.48492938,-37.5,84.1236301764
1737.48492938,-35,84.8601973038
1737.48492938,-32.5,85.5295057392
1737.48492938,-30,86.1057947454
1737.48492938,-27.5,86.5700132579
1737.48492938,-25,86.9101295449
1737.48492938,-22.5,87.1212827622
1737.48492938,-20,87.206045074
1737.48492938,-17.5,87.1748445895
1737.48492938,-15,87.046348309
1737.48492938,-12.5,86.8473285915
1737.48492938,-10,86.6113379484
1737.48492938,-7.5,86.3756374717
1737.48492938,-5,86.1764900663
1737.48492938,-2.5,86.0439181063
1737.48492938,0,85.9974790695
1737.48492938,2.5,86.0439181063
1737.48492938,5,86.1764900663
1737.48492938,7.5,86.3756374717
1737.48492938,10,86.6113379484
1737.48492938,12.5,86.8473285915
1737.48492938,15,87.046348309
1737.48492938,17.5,87.1748445895
1737.48492938,20,87.206045074
1737.48492938,22.5,87.1212827622
1737.48492938,25,86.9101295449
1737.48492938,27.5,86.5700132579
1737.48492938,30,86.1057947454
1737.48492938,32.5,85.5295057392
1737.48492938,35,84.8601973038
1737.48492938,37.5,84.1236301764
1737.48492938,40,83.3513540398
1737.48492938,42.5,82.5786338037
1737.48492938,45,81.8408302688
1824.72592354,-45,82.5456908148
1824.72592354,-42.5,83.2614193585
1824.72592354,-40,84.0247039033
1824.72592354,-37.5,84.802485172
1824.72592354,-35,85.55916512
1824.72592354,-32.5,86.2604520662
1824.72592354,-30,86.8761535903
1824.72592354,-27.5,87.3819108482
1824.72592354,-25,87.7601339948
1824.72592354,-22.5,88.0005240861
1824.72592354,-20,88.1005525499
1824.72592354,-17.5,88.0661516034
1824.72592354,-15,87.9126689178
1824.72592354,-12.5,87.6658400589
1824.72592354,-10,87.3621146064
1824.72592354,-7.5,87.0472270335
1824.72592354,-5,86.7717734528
1824.72592354,-2.5,86.5832989653
1824.72592354,0,86.5162584958
1824.72592354,2.5,86.5832989653
1824.72592354,5,86.7717734528
1824.72592354,7.5,87.0472270335
1824.72592354,10,87.3621146064
1824.72592354,12.5,87.6658400589
1824.72592354,15,87.9126689178
1824.72592354,17.5,88.0661516034
1824.72592354,20,88.1005525499
1824.72592354,22.5,88.0005240861
1824.72592354,25,87.7601339948
1824.72592354,27.5,87.3819108482
1824.72592354,30,86.8761535903
1824.72592354,32.5,86.2604520662
1824.72592354,35,85.55916512
1824.72592354,37.5,84.802485172
1824.72592354,40,84.0247039033
1824.72592354,42.5,83.2614193585
1824.72592354,45,82.5456908148
1916.3473822,-45,81.0043540977
1916.3473822,-42.5,81.6753762121
1916.3473822,-40,82.4790101376
1916.3473822,-37.5,83.3673913955
1916.3473822,-35,84.282414501
1916.3473822,-32.5,85.1665684832
1916.3473822,-30,85.9702979794
1916.3473822,-27.5,86.6553245101
1916.3473822,-25,87.1951613766
1916.3473822,-22.5,87.574404025
1916.3473822,-20,87.7879567523
1916.3473822,-17.5,87.8408101273
1916.3473822,-15,87.7485366336
1916.3473822,-12.5,87.5382688443
1916.3473822,-10,87.2494290755
1916.3473822,-7.5,86.9328568629
1916.3473822,-5,86.6465301995
1916.3473822,-2.5,86.4465995495
1916.3473822,0,86.3747793677
1916.3473822,2.5,86.4465995495
1916.3473822,5,86.6465301995
1916.3473822,7.5,86.9328568629
1916.3473822,10,87.2494290755
1916.3473822,12.5,87.5382688443
1916.3473822,15,87.7485366336
1916.3473822,17.5,87.8408101273
1916.3473822,20,87.7879567523
1916.3473822,22.5,87.574404025
1916.3473822,25,87.1951613766
1916.3473822,27.5,86.6553245101
1916.3473822,30,85.9702979794
1916.3473822,32.5,85.1665684832
1916.3473822,35,84.282414501
1916.3473822,37.5,83.3673913955
1916.3473822,40,82.4790101376
1916.3473822,42.5,81.6753762121
1916.3473822,45,81.0043540977
2012.56925322,-45,82.1799944611
2012.56925322,-42.5,82.8208387997
2012.56925322,-40,83.5075971213
2012.56925322,-37.5,84.225052604
2012.56925322,-35,84.9587213879
2012.56925322,-32.5,85.6902117754
2012.56925322,-30,86.3945160645
2012.56925322,-27.5,87.0416126018
2012.56925322,-25,87.6013110063
2012.56925322,-22.5,88.0486673517
2012.56925322,-20,88.3680496746
2012.56925322,-17.5,88.5554219385
2012.56925322,-15,88.6192091211
2012.56925322,-12.5,88.5800112693
2012.56925322,-10,88.4689453176
2012.56925322,-7.5,88.3241082273
2012.56925322,-5,88.1850367244
2012.56925322,-2.5,88.086069176
2012.56925322,0,88.0503661774
2012.56925322,2.5,88.086069176
2012.56925322,5,88.1850367244
2012.56925322,7.5,88.3241082273
2012.56925322,10,88.4689453176
2012.56925322,12.5,88.5800112693
2012.56925322,15,88.6192091211
2012.56925322,17.5,88.5554219385
2012.56925322,20,88.3680496746
2012.56925322,22.5,88.0486673517
2012.56925322,25,87.6013110063
2012.56925322,27.5,87.0416126018
2012.56925322,30,86.3945160645
2012.56925322,32.5,85.6902117754
2012.56925322,35,84.9587213879
2012.56925322,37.5,84.225052604
2012.56925322,40,83.5075971213
2012.56925322,42.5,82.8208387997
2012.56925322,45,82.1799944611
2113.62252827,-45,81.8894107206
2113.62252827,-42.5,82.9237453449
2113.62252827,-40,83.900877008
2113.62252827,-37.5,84.795769743
2113.62252827,-35,85.6034773607
2113.62252827,-32.5,86.3312055495
2113.62252827,-30,86.9895523825
2113.62252827,-27.5,87.5853721929
2113.62252827,-25,88.1183184298
2113.62252827,-22.5,88.5818680174
2113.62252827,-20,88.9676136521
2113.62252827,-17.5,89.2703163598
2113.62252827,-15,89.4914460828
2113.62252827,-12.5,89.6400657697
2113.62252827,-10,89.7310405545
2113.62252827,-7.5,89.7814356352
2113.62252827,-5,89.8066179782
2113.62252827,-2.5,89.8176538654
2113.62252827,0,89.8206996379
2113.62252827,2.5,89.8176538654
2113.62252827,5,89.8066179782
2113.62252827,7.5,89.7814356352
2113.62252827,10,89.7310405545
2113.62252827,12.5,89.6400657697
2113.62252827,15,89.4914460828
2113.62252827,17.5,89.2703163598
2113.62252827,20,88.9676136521
2113.62252827,22.5,88.5818680174
2113.62252827,25,88.1183184298
2113.62252827,27.5,87.5853721929
2113.62252827,30,86.9895523825
2113.62252827,32.5,86.3312055495
2113.62252827,35,85.6034773607
2113.62252827,37.5,84.795769743
2113.62252827,40,83.900877008
2113.62252827,42.5,82.9237453449
2113.62252827,45,81.8894107206
2219.74979736,-45,85.174477447
2219.74979736,-42.5,85.5903174084
2219.74979736,-40,86.0174727063
2219.74979736,-37.5,86.45981016
2219.74979736,-35,86.9092630615
2219.74979736,-32.5,87.3459709772
2219.74979736,-30,87.7426565103
2219.74979736,-27.5,88.0709803299
2219.74979736,-25,88.3072060934
2219.74979736,-22.5,88.4358510524
2219.74979736,-20,88.4514361062
2219.74979736,-17.5,88.3590348153
2219.74979736,-15,88.1741671764
2219.74979736,-12.5,87.922131246
2219.74979736,-10,87.6364402672
2219.74979736,-7.5,87.3558580476
2219.74979736,-5,87.1197873151
2219.74979736,-2.5,86.962474763
2219.74979736,0,86.9072741585
2219.74979736,2.5,86.962474763
2219.74979736,5,87.1197873151
2219.74979736,7.5,87.3558580476
2219.74979736,10,87.6364402672
2219.74979736,12.5,87.922131246
2219.74979736,15,88.1741671764
2219.74979736,17.5,88.3590348153
