freq_hz,angle_deg,spl_db
1500,-45,65.8350667722
1500,-42.5,66.4691201659
1500,-40,67.0463922656
1500,-37.5,67.5599832854
1500,-35,67.9816229699
1500,-32.5,68.281866229
1500,-30,68.4814450679
1500,-27.5,68.6742041981
1500,-25,68.974948899
1500,-22.5,69.4303414357
1500,-20,70.0011033205
1500,-17.5,70.6146951815
1500,-15,71.1909192853
1500,-12.5,71.6409019474
1500,-10,71.8935132538
1500,-7.5,71.9382163624
1500,-5,71.8409571197
1500,-2.5,71.7145248182
1500,0,71.6593987609
1500,2.5,71.7145248182
1500,5,71.8409571197
1500,7.5,71.9382163624
1500,10,71.8935132538
1500,12.5,71.6409019474
1500,15,71.1909192853
1500,17.5,70.6146951815
1500,20,70.0011033205
1500,22.5,69.4303414357
1500,25,68.974948899
1500,27.5,68.6742041981
1500,30,68.4814450679
1500,32.5,68.281866229
1500,35,67.9816229699
1500,37.5,67.5599832854
1500,40,67.0463922656
1500,42.5,66.4691201659
1500,45,65.8350667722
1503.34191665,-45,65.8159667215
1503.34191665,-42.5,66.4391429551
1503.34191665,-40,67.0002559416
1503.34191665,-37.5,67.4990371444
1503.34191665,-35,67.9137599299
1503.34191665,-32.5,68.2172999753
1503.34191665,-30,68.429680206
1503.34191665,-27.5,68.6434171473
1503.34191665,-25,68.9699435674
1503.34191665,-22.5,69.4486917876
1503.34191665,-20,70.0335717836
1503.34191665,-17.5,70.6512685595
1503.34191665,-15,71.2262322707
1503.34191665,-12.5,71.6747554774
1503.34191665,-10,71.9282914365
1503.34191665,-7.5,71.9767740687
1503.34191665,-5,71.8854838058
1503.34191665,-2.5,71.7650346301
1503.34191665,0,71.7125064424
1503.34191665,2.5,71.7650346301
1503.34191665,5,71.8854838058
1503.34191665,7.5,71.9767740687
1503.34191665,10,71.9282914365
1503.34191665,12.5,71.6747554774
1503.34191665,15,71.2262322707
1503.34191665,17.5,70.6512685595
1503.34191665,20,70.0335717836
1503.34191665,22.5,69.4486917876
1503.34191665,25,68.9699435674
1503.34191665,27.5,68.6434171473
1503.34191665,30,68.429680206
1503.34191665,32.5,68.2172999753
1503.34191665,35,67.9137599299
1503.34191665,37.5,67.4990371444
1503.34191665,40,67.0002559416
1503.34191665,42.5,66.4391429551
1503.34191665,45,65.8159667215
1506.69127891,-45,65.7886851122
1506.69127891,-42.5,66.4057005625
1506.69127891,-40,66.9536950586
1506.69127891,-37.5,67.4387006211
1506.69127891,-35,67.8463238751
1506.69127891,-32.5,68.1532291368
1506.69127891,-30,68.3797250921
1506.69127891,-27.5,68.6166651811
1506.69127891,-25,68.9705169137
1506.69127891,-22.5,69.4721260964
1506.69127891,-20,70.0687371392
1506.69127891,-17.5,70.6873080626
1506.69127891,-15,71.2579814392
1506.69127891,-12.5,71.7030029454
1506.69127891,-10,71.9568270753
1506.69127891,-7.5,72.0098190599
1506.69127891,-5,71.9260765435
1506.69127891,-2.5,71.8131486256
1506.69127891,0,71.7638491531
1506.69127891,2.5,71.8131486256
1506.69127891,5,71.9260765435
1506.69127891,7.5,72.0098190599
1506.69127891,10,71.9568270753
1506.69127891,12.5,71.7030029454
1506.69127891,15,71.2579814392
1506.69127891,17.5,70.6873080626
1506.69127891,20,70.0687371392
1506.69127891,22.5,69.4721260964
1506.69127891,25,68.9705169137
1506.69127891,27.5,68.6166651811
1506.69127891,30,68.3797250921
1506.69127891,32.5,68.1532291368
1506.69127891,35,67.8463238751
1506.69127891,37.5,67.4387006211
1506.69127891,40,66.9536950586
1506.69127891,42.5,66.4057005625
1506.69127891,45,65.7886851122
1510.04810336,-45,65.7506174609
1510.04810336,-42.5,66.363940319
1510.04810336,-40,66.9015908233
1510.04810336,-37.5,67.3753372161
1510.04810336,-35,67.7780077481
1510.04810336,-32.5,68.0903644225
1510.04810336,-30,68.3331843152
1510.04810336,-27.5,68.595228972
1510.04810336,-25,68.977098856
1510.04810336,-22.5,69.5006572672
1510.04810336,-20,70.1070711088
1510.04810336,-17.5,70.7244194162
1510.04810336,-15,71.2890947619
1510.04810336,-12.5,71.7295839045
1510.04810336,-10,71.9834198445
1510.04810336,-7.5,72.0412786201
1510.04810336,-5,71.9657814269
1510.04810336,-2.5,71.8610147729
1510.04810336,0,71.8151967965
1510.04810336,2.5,71.8610147729
1510.04810336,5,71.9657814269
1510.04810336,7.5,72.0412786201
1510.04810336,10,71.9834198445
1510.04810336,12.5,71.7295839045
1510.04810336,15,71.2890947619
1510.04810336,17.5,70.7244194162
1510.04810336,20,70.1070711088
1510.04810336,22.5,69.5006572672
1510.04810336,25,68.977098856
1510.04810336,27.5,68.595228972
1510.04810336,30,68.3331843152
1510.04810336,32.5,68.0903644225
1510.04810336,35,67.7780077481
1510.04810336,37.5,67.3753372161
1510.04810336,40,66.9015908233
1510.04810336,42.5,66.363940319
1510.04810336,45,65.7506174609
1513.41240662,-45,65.7047477424
1513.41240662,-42.5,66.3166292293
1513.41240662,-40,66.8459168901
1513.41240662,-37.5,67.3097761979
1513.41240662,-35,67.7084078105
1513.41240662,-32.5,68.027121862
1513.41240662,-30,68.2874264033
1513.41240662,-27.5,68.5757905381
1513.41240662,-25,68.9864228983
1513.41240662,-22.5,69.5319371559
1513.41240662,-20,70.1476481314
1513.41240662,-17.5,70.7630638174
1513.41240662,-15,71.32103944
1513.41240662,-12.5,71.7565183327
1513.41240662,-10,72.0102722124
1513.41240662,-7.5,72.0732850358
1513.41240662,-5,72.0065275679
1513.41240662,-2.5,71.9103576486
1513.41240662,0,71.8681888294
1513.41240662,2.5,71.9103576486
1513.41240662,5,72.0065275679
1513.41240662,7.5,72.0732850358
1513.41240662,10,72.0102722124
1513.41240662,12.5,71.7565183327
1513.41240662,15,71.32103944
1513.41240662,17.5,70.7630638174
1513.41240662,20,70.1476481314
1513.41240662,22.5,69.5319371559
1513.41240662,25,68.9864228983
1513.41240662,27.5,68.5757905381
1513.41240662,30,68.2874264033
1513.41240662,32.5,68.027121862
1513.41240662,35,67.7084078105
1513.41240662,37.5,67.3097761979
1513.41240662,40,66.8459168901
1513.41240662,42.5,66.3166292293
1513.41240662,45,65.7047477424
1516.78420537,-45,65.6365011686
1516.78420537,-42.5,66.2481703823
1516.78420537,-40,66.7723631392
1516.78420537,-37.5,67.2310012086
1516.78420537,-35,67.6308465797
1516.78420537,-32.5,67.9611486975
1516.78420537,-30,68.2437369018
1516.78420537,-27.5,68.5621474333
1516.78420537,-25,69.0033114993
1516.78420537,-22.5,69.5704166325
1516.78420537,-20,70.1938393326
1516.78420537,-17.5,70.8056184111
1516.78420537,-15,71.3556822034
1516.78420537,-12.5,71.7855566649
1516.78420537,-10,72.0391102353
1516.78420537,-7.5,72.107418309
1516.78420537,-5,72.0496098324
1516.78420537,-2.5,71.9621840027
1516.78420537,0,71.9237110351
1516.78420537,2.5,71.9621840027
1516.78420537,5,72.0496098324
1516.78420537,7.5,72.107418309
1516.78420537,10,72.0391102353
1516.78420537,12.5,71.7855566649
1516.78420537,15,71.3556822034
1516.78420537,17.5,70.8056184111
1516.78420537,20,70.1938393326
1516.78420537,22.5,69.5704166325
1516.78420537,25,69.0033114993
1516.78420537,27.5,68.5621474333
1516.78420537,30,68.2437369018
1516.78420537,32.5,67.9611486975
1516.78420537,35,67.6308465797
1516.78420537,37.5,67.2310012086
1516.78420537,40,66.7723631392
1516.78420537,42.5,66.2481703823
1516.78420537,45,65.6365011686
1520.1635163,-45,65.5425114087
1520.1635163,-42.5,66.154308857
1520.1635163,-40,66.676420333
1520.1635163,-37.5,67.135897176
1520.1635163,-35,67.5455607336
1520.1635163,-32.5,67.8970667242
1520.1635163,-30,68.2105156765
1520.1635163,-27.5,68.5644178815
1520.1635163,-25,69.0371458381
1520.1635163,-22.5,69.6230998937
1520.1635163,-20,70.2496992801
1520.1635163,-17.5,70.8533045681
1520.1635163,-15,71.3919753817
1520.1635163,-12.5,71.8141677381
1520.1635163,-10,72.0665953521
1520.1635163,-7.5,72.1399170411
1520.1635163,-5,72.0909999919
1520.1635163,-2.5,72.0122851193
1520.1635163,0,71.9774871409
1520.1635163,2.5,72.0122851193
1520.1635163,5,72.0909999919
1520.1635163,7.5,72.1399170411
1520.1635163,10,72.0665953521
1520.1635163,12.5,71.8141677381
1520.1635163,15,71.3919753817
1520.1635163,17.5,70.8533045681
1520.1635163,20,70.2496992801
1520.1635163,22.5,69.6230998937
1520.1635163,25,69.0371458381
1520.1635163,27.5,68.5644178815
1520.1635163,30,68.2105156765
1520.1635163,32.5,67.8970667242
1520.1635163,35,67.5455607336
1520.1635163,37.5,67.135897176
1520.1635163,40,66.676420333
1520.1635163,42.5,66.154308857
1520.1635163,45,65.5425114087
1523.55035614,-45,65.4246154162
1523.55035614,-42.5,66.0328130303
1523.55035614,-40,66.5528081583
1523.55035614,-37.5,67.0180113521
1523.55035614,-35,67.4471858746
1523.55035614,-32.5,67.8318000552
1523.55035614,-30,68.1864764529
1523.55035614,-27.5,68.5818701519
1523.55035614,-25,69.0873291062
1523.55035614,-22.5,69.6901881606
1523.55035614,-20,70.3168271367
1523.55035614,-17.5,70.908924429
1523.55035614,-15,71.4332405187
1523.55035614,-12.5,71.8455861726
1523.55035614,-10,72.0955514308
1523.55035614,-7.5,72.1730916471
1523.55035614,-5,72.1325568385
1523.55035614,-2.5,72.0622436148
1523.55035614,0,72.0310145776
1523.55035614,2.5,72.0622436148
1523.55035614,5,72.1325568385
1523.55035614,7.5,72.1730916471
1523.55035614,10,72.0955514308
1523.55035614,12.5,71.8455861726
1523.55035614,15,71.4332405187
1523.55035614,17.5,70.908924429
1523.55035614,20,70.3168271367
1523.55035614,22.5,69.6901881606
1523.55035614,25,69.0873291062
1523.55035614,27.5,68.5818701519
1523.55035614,30,68.1864764529
1523.55035614,32.5,67.8318000552
1523.55035614,35,67.4471858746
1523.55035614,37.5,67.0180113521
1523.55035614,40,66.5528081583
1523.55035614,42.5,66.0328130303
1523.55035614,45,65.4246154162
1526.94474168,-45,65.2527109635
1526.94474168,-42.5,65.8591576954
1526.94474168,-40,66.3782310031
1526.94474168,-37.5,66.8529191368
1526.94474168,-35,67.3108487495
1526.94474168,-32.5,67.7421504865
1526.94474168,-30,68.1519567663
1526.94474168,-27.5,68.5998026187
1526.94474168,-25,69.1453043822
1526.94474168,-22.5,69.7697666008
1526.94474168,-20,70.3994643609
1526.94474168,-17.5,70.9817717187
1526.94474168,-15,71.4926223858
1526.94474168,-12.5,71.8958492607
1526.94474168,-10,72.1442987054
1526.94474168,-7.5,72.2272143037
1526.94474168,-5,72.1962622815
1526.94474168,-2.5,72.1353196463
1526.94474168,0,72.10804175
1526.94474168,2.5,72.1353196463
1526.94474168,5,72.1962622815
1526.94474168,7.5,72.2272143037
1526.94474168,10,72.1442987054
1526.94474168,12.5,71.8958492607
1526.94474168,15,71.4926223858
1526.94474168,17.5,70.9817717187
1526.94474168,20,70.3994643609
1526.94474168,22.5,69.7697666008
1526.94474168,25,69.1453043822
1526.94474168,27.5,68.5998026187
1526.94474168,30,68.1519567663
1526.94474168,32.5,67.7421504865
1526.94474168,35,67.3108487495
1526.94474168,37.5,66.8529191368
1526.94474168,40,66.3782310031
1526.94474168,42.5,65.8591576954
1526.94474168,45,65.2527109635
1530.34668972,-45,65.0168716333
1530.34668972,-42.5,65.6313685425
1530.34668972,-40,66.1525391424
1530.34668972,-37.5,66.6383705236
1530.34668972,-35,67.1321437254
1530.34668972,-32.5,67.6236376615
1530.34668972,-30,68.1040650972
1530.34668972,-27.5,68.6173743832
1530.34668972,-25,69.2119134325
1530.34668972,-22.5,69.8636801925
1530.34668972,-20,70.499852859
1530.34668972,-17.5,71.0741459815
1530.34668972,-15,71.5724504098
1530.34668972,-12.5,71.9675265681
1530.34668972,-10,72.2159180464
1530.34668972,-7.5,72.3060529221
1530.34668972,-5,72.2865826958
1530.34668972,-2.5,72.236503446
1530.34668972,0,72.2137533029
1530.34668972,2.5,72.236503446
1530.34668972,5,72.2865826958
1530.34668972,7.5,72.3060529221
1530.34668972,10,72.2159180464
1530.34668972,12.5,71.9675265681
1530.34668972,15,71.5724504098
1530.34668972,17.5,71.0741459815
1530.34668972,20,70.499852859
1530.34668972,22.5,69.8636801925
1530.34668972,25,69.2119134325
1530.34668972,27.5,68.6173743832
1530.34668972,30,68.1040650972
1530.34668972,32.5,67.6236376615
1530.34668972,35,67.1321437254
1530.34668972,37.5,66.6383705236
1530.34668972,40,66.1525391424
1530.34668972,42.5,65.6313685425
1530.34668972,45,65.0168716333
1533.75621711,-45,64.6433989152
1533.75621711,-42.5,65.2890845031
1533.75621711,-40,65.8187937665
1533.75621711,-37.5,66.3190995906
1533.75621711,-35,66.8662629609
1533.75621711,-32.5,67.4517995997
1533.75621711,-30,68.0407585755
1533.75621711,-27.5,68.6495442971
1533.75621711,-25,69.311190229
1533.75621711,-22.5,69.9986736225
1533.75621711,-20,70.6437630243
1533.75621711,-17.5,71.2093497149
1533.75621711,-15,71.6937949688
1533.75621711,-12.5,72.0807558876
1533.75621711,-10,72.3309443498
1533.75621711,-7.5,72.4313076483
1533.75621711,-5,72.4266292817
1533.75621711,-2.5,72.390107616
1533.75621711,0,72.3729477519
1533.75621711,2.5,72.390107616
1533.75621711,5,72.4266292817
1533.75621711,7.5,72.4313076483
1533.75621711,10,72.3309443498
1533.75621711,12.5,72.0807558876
1533.75621711,15,71.6937949688
1533.75621711,17.5,71.2093497149
1533.75621711,20,70.6437630243
1533.75621711,22.5,69.9986736225
1533.75621711,25,69.311190229
