freq_hz,angle_deg,spl_db
1500,-45,87.2693261012
1500,-42.5,87.3763846966
1500,-40,87.0456077123
1500,-37.5,86.3533815975
1500,-35,85.4572499857
1500,-32.5,84.6206753948
1500,-30,84.1713382388
1500,-27.5,84.3381108615
1500,-25,85.0846851367
1500,-22.5,86.1558967898
1500,-20,87.2710441594
1500,-17.5,88.2447614773
1500,-15,88.9974811576
1500,-12.5,89.5238280169
1500,-10,89.8603403764
1500,-7.5,90.0599955477
1500,-5,90.1720898432
1500,-2.5,90.2295666031
1500,0,90.2475062077
1500,2.5,90.2295666031
1500,5,90.1720898432
1500,7.5,90.0599955477
1500,10,89.8603403764
1500,12.5,89.5238280169
1500,15,88.9974811576
1500,17.5,88.2447614773
1500,20,87.2710441594
1500,22.5,86.1558967898
1500,25,85.0846851367
1500,27.5,84.3381108615
1500,30,84.1713382388
1500,32.5,84.6206753948
1500,35,85.4572499857
1500,37.5,86.3533815975
1500,40,87.0456077123
1500,42.5,87.3763846966
1500,45,87.2693261012
1503.34191665,-45,87.7043045187
1503.34191665,-42.5,87.7723316692
1503.34191665,-40,87.3049452933
1503.34191665,-37.5,86.3741076498
1503.34191665,-35,85.1584538812
1503.34191665,-32.5,83.9943355614
1503.34191665,-30,83.3302852784
1503.34191665,-27.5,83.4982974206
1503.34191665,-25,84.4647269764
1503.34191665,-22.5,85.8605060274
1503.34191665,-20,87.272912565
1503.34191665,-17.5,88.4517297011
1503.34191665,-15,89.3132533614
1503.34191665,-12.5,89.8753084382
1503.34191665,-10,90.2039926815
1503.34191665,-7.5,90.3783440738
1503.34191665,-5,90.4654831602
1503.34191665,-2.5,90.5068491563
1503.34191665,0,90.5194510628
1503.34191665,2.5,90.5068491563
1503.34191665,5,90.4654831602
1503.34191665,7.5,90.3783440738
1503.34191665,10,90.2039926815
1503.34191665,12.5,89.8753084382
1503.34191665,15,89.3132533614
1503.34191665,17.5,88.4517297011
1503.34191665,20,87.272912565
1503.34191665,22.5,85.8605060274
1503.34191665,25,84.4647269764
1503.34191665,27.5,83.4982974206
1503.34191665,30,83.3302852784
1503.34191665,32.5,83.9943355614
1503.34191665,35,85.1584538812
1503.34191665,37.5,86.3741076498
1503.34191665,40,87.3049452933
1503.34191665,42.5,87.7723316692
1503.34191665,45,87.7043045187
1506.69127891,-45,87.3908927038
1506.69127891,-42.5,87.5868319671
1506.69127891,-40,87.2967593023
1506.69127891,-37.5,86.7286564845
1506.69127891,-35,86.2198075659
1506.69127891,-32.5,86.0196363217
1506.69127891,-30,86.0627315141
1506.69127891,-27.5,86.1762542371
1506.69127891,-25,86.389779272
1506.69127891,-22.5,86.8707798658
1506.69127891,-20,87.6159945671
