freq_hz,angle_deg,spl_db
1500,-45,66.3212605629
1500,-42.5,67.1687098305
1500,-40,67.7008396239
1500,-37.5,67.9142262382
1500,-35,67.8789590919
1500,-32.5,67.7411219289
1500,-30,67.7036160221
1500,-27.5,67.952766013
1500,-25,68.5264257685
1500,-22.5,69.2604724743
1500,-20,69.9233413594
1500,-17.5,70.3779356794
1500,-15,70.6262749161
1500,-12.5,70.763745072
1500,-10,70.9017088459
1500,-7.5,71.1032832276
1500,-5,71.3543046398
1500,-2.5,71.5723091884
1500,0,71.6593987609
1500,2.5,71.5723091884
1500,5,71.3543046398
1500,7.5,71.1032832276
1500,10,70.9017088459
1500,12.5,70.763745072
1500,15,70.6262749161
1500,17.5,70.3779356794
1500,20,69.9233413594
1500,22.5,69.2604724743
1500,25,68.5264257685
1500,27.5,67.952766013
1500,30,67.7036160221
1500,32.5,67.7411219289
1500,35,67.8789590919
1500,37.5,67.9142262382
1500,40,67.7008396239
1500,42.5,67.1687098305
1500,45,66.3212605629
1627.57318254,-45,65.4863927456
1627.57318254,-42.5,66.1342850862
1627.57318254,-40,66.5978447242
1627.57318254,-37.5,66.8314688756
1627.57318254,-35,66.8129078962
1627.57318254,-32.5,66.6985861595
1627.57318254,-30,66.8320289335
1627.57318254,-27.5,67.4540091242
1627.57318254,-25,68.4562046021
1627.57318254,-22.5,69.542599593
1627.57318254,-20,70.4394978351
1627.57318254,-17.5,70.9817677772
1627.57318254,-15,71.1646920233
1627.57318254,-12.5,71.1548457229
1627.57318254,-10,71.2110872784
1627.57318254,-7.5,71.5053282601
1627.57318254,-5,71.9827480445
1627.57318254,-2.5,72.4185100595
1627.57318254,0,72.5925591146
1627.57318254,2.5,72.4185100595
1627.57318254,5,71.9827480445
1627.57318254,7.5,71.5053282601
1627.57318254,10,71.2110872784
1627.57318254,12.5,71.1548457229
1627.57318254,15,71.1646920233
1627.57318254,17.5,70.9817677772
1627.57318254,20,70.4394978351
1627.57318254,22.5,69.542599593
1627.57318254,25,68.4562046021
1627.57318254,27.5,67.4540091242
1627.57318254,30,66.8320289335
1627.57318254,32.5,66.6985861595
1627.57318254,35,66.8129078962
1627.57318254,37.5,66.8314688756
1627.57318254,40,66.5978447242
1627.57318254,42.5,66.1342850862
1627.57318254,45,65.4863927456
1765.99630968,-45,65.8249684448
1765.99630968,-42.5,65.8085946641
1765.99630968,-40,65.4301810503
1765.99630968,-37.5,65.0315977494
1765.99630968,-35,65.0620722156
1765.99630968,-32.5,65.8558021638
1765.99630968,-30,67.2466805496
1765.99630968,-27.5,68.6745003533
1765.99630968,-25,69.754538203
1765.99630968,-22.5,70.4420866946
1765.99630968,-20,70.8725051583
1765.99630968,-17.5,71.189748
1765.99630968,-15,71.4882639759
1765.99630968,-12.5,71.8205290305
1765.99630968,-10,72.1710223234
1765.99630968,-7.5,72.471357002
1765.99630968,-5,72.6804786077
1765.99630968,-2.5,72.8029956616
1765.99630968,0,72.844673127
1765.99630968,2.5,72.8029956616
1765.99630968,5,72.6804786077
1765.99630968,7.5,72.471357002
1765.99630968,10,72.1710223234
1765.99630968,12.5,71.8205290305
1765.99630968,15,71.4882639759
1765.99630968,17.5,71.189748
1765.99630968,20,70.8725051583
1765.99630968,22.5,70.4420866946
1765.99630968,25,69.754538203
1765.99630968,27.5,68.6745003533
1765.99630968,30,67.2466805496
1765.99630968,32.5,65.8558021638
1765.99630968,35,65.0620722156
1765.99630968,37.5,65.0315977494
1765.99630968,40,65.4301810503
1765.99630968,42.5,65.8085946641
1765.99630968,45,65.8249684448
1916.19215607,-45,66.1899517004
1916.19215607,-42.5,66.4001195583
1916.19215607,-40,66.287038719
1916.19215607,-37.5,66.204266113
1916.19215607,-35,66.6047737251
1916.19215607,-32.5,67.559426821
1916.19215607,-30,68.721841352
1916.19215607,-27.5,69.737559927
1916.19215607,-25,70.4056229529
1916.19215607,-22.5,70.7010362984
1916.19215607,-20,70.7860018422
1916.19215607,-17.5,70.9272315392
1916.19215607,-15,71.2871433609
1916.19215607,-12.5,71.7899824717
1916.19215607,-10,72.232833595
