freq_hz,angle_deg,spl_db
1500,-45,2.18225518312
1500,-42.5,2.87049824289
1500,-40,3.58224117661
1500,-37.5,4.31885178726
1500,-35,5.07485408746
1500,-32.5,5.83852143299
1500,-30,6.59373532934
1500,-27.5,7.32253431125
1500,-25,8.00768033159
1500,-22.5,8.63474470879
1500,-20,9.19345633063
1500,-17.5,9.67822590516
1500,-15,10.0878581717
1500,-12.5,10.4245563187
1500,-10,10.6924589519
1500,-7.5,10.8960997567
1500,-5,11.039231552
1500,-2.5,11.12430266
1500,0,11.1525425593
1500,2.5,11.12430266
1500,5,11.039231552
1500,7.5,10.8960997567
1500,10,10.6924589519
1500,12.5,10.4245563187
1500,15,10.0878581717
1500,17.5,9.67822590516
1500,20,9.19345633063
1500,22.5,8.63474470879
1500,25,8.00768033159
1500,27.5,7.32253431125
1500,30,6.59373532934
1500,32.5,5.83852143299
1500,35,5.07485408746
1500,37.5,4.31885178726
1500,40,3.58224117661
1500,42.5,2.87049824289
1500,45,2.18225518312
1627.57318254,-45,1.8371369205
1627.57318254,-42.5,2.76927873305
1627.57318254,-40,3.66432574208
1627.57318254,-37.5,4.50367054042
1627.57318254,-35,5.28201188779
1627.57318254,-32.5,6.00544766349
1627.57318254,-30,6.68715363974
1627.57318254,-27.5,7.34144692644
1627.57318254,-25,7.97782834644
1627.57318254,-22.5,8.59716198499
1627.57318254,-20,9.19146264473
1627.57318254,-17.5,9.74692767495
1627.57318254,-15,10.2483094389
1627.57318254,-12.5,10.682611469
1627.57318254,-10,11.0410629997
1627.57318254,-7.5,11.3193552215
1627.57318254,-5,11.5166598612
1627.57318254,-2.5,11.6340650352
1627.57318254,0,11.6729954052
1627.57318254,2.5,11.6340650352
1627.57318254,5,11.5166598612
1627.57318254,7.5,11.3193552215
1627.57318254,10,11.0410629997
1627.57318254,12.5,10.682611469
1627.57318254,15,10.2483094389
1627.57318254,17.5,9.74692767495
1627.57318254,20,9.19146264473
1627.57318254,22.5,8.59716198499
1627.57318254,25,7.97782834644
1627.57318254,27.5,7.34144692644
1627.57318254,30,6.68715363974
1627.57318254,32.5,6.00544766349
1627.57318254,35,5.28201188779
1627.57318254,37.5,4.50367054042
1627.57318254,40,3.66432574208
1627.57318254,42.5,2.76927873305
1627.57318254,45,1.8371369205
1765.99630968,-45,3.03253779398
