freq_hz,angle_deg,spl_db
1500,-45,84.7582979721
1500,-44.75,84.8864866616
1500,-44.5,85.0126644573
1500,-44.25,85.1368352233
1500,-44,85.2590031533
1500,-43.75,85.3791727715
1500,-43.5,85.4973489347
1500,-43.25,85.6135368331
1500,-43,85.7277419924
1500,-42.75,85.8399702749
1500,-42.5,85.9502278812
1500,-42.25,86.0585213521
1500,-42,86.1648575702
1500,-41.75,86.2692437617
1500,-41.5,86.3716874984
1500,-41.25,86.4721966998
1500,-41,86.570779635
1500,-40.75,86.6674449254
1500,-40.5,86.7622015465
1500,-40.25,86.8550588306
1500,-40,86.9460264697
1500,-39.75,87.0351145177
1500,-39.5,87.1223333933
1500,-39.25,87.2076938832
1500,-39,87.2912071449
1500,-38.75,87.3728847098
1500,-38.5,87.4527384867
1500,-38.25,87.5307807647
1500,-38,87.607024217
1500,-37.75,87.6814819041
1500,-37.5,87.7541672777
1500,-37.25,87.8250941839
1500,-37,87.8942768672
1500,-36.75,87.961729974
1500,-36.5,88.0274685564
1500,-36.25,88.091508076
1500,-36,88.1538644073
1500,-35.75,88.2145538415
1500,-35.5,88.2735930903
1500,-35.25,88.3309992891
1500,-35,88.3867900004
1500,-34.75,88.4409832174
1500,-34.5,88.4935973667
1500,-34.25,88.5446513115
1500,-34,88.5941643538
1500,-33.75,88.6421562376
1500,-33.5,88.6886471503
1500,-33.25,88.7336577247
1500,-33,88.7772090407
1500,-32.75,88.8193226257
1500,-32.5,88.8600204556
1500,-32.25,88.8993249549
1500,-32,88.9372589957
1500,-31.75,88.9738458968
1500,-31.5,89.0091094221
1500,-31.25,89.0430737779
1500,-31,89.0757636097
1500,-30.75,89.1072039982
1500,-30.5,89.1374204544
1500,-30.25,89.1664389137
1500,-30,89.1942857291
1500,-29.75,89.2209876634
1500,-29.5,89.2465718803
1500,-29.25,89.2710659343
1500,-29,89.2944977594
1500,-28.75,89.3168956566
1500,-28.5,89.3382882802
1500,-28.25,89.3587046224
1500,-28,89.378173997
1500,-27.75,89.3967260213
1500,-27.5,89.4143905965
1500,-27.25,89.4311978869
1500,-27,89.4471782972
1500,-26.75,89.4623624485
1500,-26.5,89.4767811528
1500,-26.25,89.4904653852
1500,-26,89.5034462557
1500,-25.75,89.515754978
1500,-25.5,89.5274228383
1500,-25.25,89.5384811609
1500,-25,89.5489612737
1500,-24.75,89.5588944711
1500,-24.5,89.5683119767
1500,-24.25,89.577244903
1500,-24,89.5857242115
1500,-23.75,89.5937806708
1500,-23.5,89.6014448132
1500,-23.25,89.6087468913
1500,-23,89.6157168331
1500,-22.75,89.6223841968
1500,-22.5,89.6287781244
1500,-22.25,89.6349272955
1500,-22,89.6408598808
1500,-21.75,89.6466034954
1500,-21.5,89.6521851521
1500,-21.25,89.6576312156
1500,-21,89.6629673562
1500,-20.75,89.6682185056
1500,-20.5,89.6734088124
1500,-20.25,89.6785615998
1500,-20,89.6836993238
1500,-19.75,89.6888435334
1500,-19.5,89.694014833
1500,-19.25,89.6992328459
1500,-19,89.7045161809
1500,-18.75,89.7098824007
1500,-18.5,89.7153479931
1500,-18.25,89.7209283451
1500,-18,89.7266377193
1500,-17.75,89.7324892346
1500,-17.5,89.7384948481
1500,-17.25,89.7446653426
1500,-17,89.7510103154
1500,-16.75,89.7575381717
1500,-16.5,89.7642561213
1500,-16.25,89.7711701786
1500,-16,89.7782851662
