freq_hz,angle_deg,spl_db
1000,-90,-9.52907882731
1000,-85,-9.52864101216
1000,-80,-9.5273409132
1000,-75,-9.52521815901
1000,-70,-9.52233744102
1000,-65,-9.51878652452
1000,-60,-9.51467355343
1000,-55,-9.51012373406
1000,-50,-9.5052755023
1000,-45,-9.50027629419
1000,-40,-9.49527805117
1000,-35,-9.49043259824
1000,-30,-9.48588703631
1000,-25,-9.48177928774
1000,-20,-9.47823392893
1000,-15,-9.47535843347
1000,-10,-9.47323993672
1000,-5,-9.4719426166
1000,0,-9.47150576654
1000,5,-9.4719426166
1000,10,-9.47323993672
1000,15,-9.47535843347
1000,20,-9.47823392893
1000,25,-9.48177928774
1000,30,-9.48588703631
1000,35,-9.49043259824
1000,40,-9.49527805117
1000,45,-9.50027629419
1000,50,-9.5052755023
1000,55,-9.51012373406
1000,60,-9.51467355343
1000,65,-9.51878652452
1000,70,-9.52233744102
1000,75,-9.52521815901
1000,80,-9.5273409132
1000,85,-9.52864101216
1000,90,-9.52907882731
1078.31715706,-90,-9.53846529448
1078.31715706,-85,-9.53795600857
1078.31715706,-80,-9.53644368432
1078.31715706,-75,-9.533974443
1078.31715706,-70,-9.53062357173
1078.31715706,-65,-9.52649320435
1078.31715706,-60,-9.52170917952
1078.31715706,-55,-9.51641717613
1078.31715706,-50,-9.51077824844
1078.31715706,-45,-9.50496390127
1078.31715706,-40,-9.49915085865
1078.31715706,-35,-9.49351568725
1078.31715706,-30,-9.48822943885
1078.31715706,-25,-9.48345247355
1078.31715706,-20,-9.47932961878
1078.31715706,-15,-9.47598580705
1078.31715706,-10,-9.47352232072
1078.31715706,-5,-9.47201375278
1078.31715706,0,-9.47150577143
1078.31715706,5,-9.47201375278
1078.31715706,10,-9.47352232072
1078.31715706,15,-9.47598580705
1078.31715706,20,-9.47932961878
1078.31715706,25,-9.48345247355
1078.31715706,30,-9.48822943885
1078.31715706,35,-9.49351568725
1078.31715706,40,-9.49915085865
1078.31715706,45,-9.50496390127
1078.31715706,50,-9.51077824844
1078.31715706,55,-9.51641717613
1078.31715706,60,-9.52170917952
1078.31715706,65,-9.52649320435
1078.31715706,70,-9.53062357173
1078.31715706,75,-9.533974443
1078.31715706,80,-9.53644368432
1078.31715706,85,-9.53795600857
1078.31715706,90,-9.53846529448
1162.7678912,-90,-9.54938383809
1162.7678912,-85,-9.54879138354
1162.7678912,-80,-9.54703210124
1162.7678912,-75,-9.54415967617
1162.7678912,-70,-9.54026173784
1162.7678912,-65,-9.53545715504
1162.7678912,-60,-9.52989237177
1162.7678912,-55,-9.52373690212
1162.7678912,-50,-9.51717812758
1162.7678912,-45,-9.51041556138
1162.7678912,-40,-9.50365475894
1162.7678912,-35,-9.49710106294
1162.7678912,-30,-9.49095337407
1162.7678912,-25,-9.48539813535
1162.7678912,-20,-9.48060370965
1162.7678912,-15,-9.47671531589
1162.7678912,-10,-9.47385067162
1162.7678912,-5,-9.47209646789
1162.7678912,0,-9.4715057771
1162.7678912,5,-9.47209646789
1162.7678912,10,-9.47385067162
