freq_hz,angle_deg,spl_db
1500,-90,67.9987008
1500,-85,70.6758593356
1500,-80,72.1265283304
1500,-75,72.8416614342
1500,-70,73.1287005154
1500,-65,73.2735001496
1500,-60,73.6321233362
1500,-55,74.6030459662
1500,-50,76.3430687441
1500,-45,78.5628818615
1500,-40,80.8231982705
1500,-35,82.8388203996
1500,-30,84.5001569201
1500,-25,85.8040917596
1500,-20,86.7987376689
1500,-15,87.5430106456
1500,-10,88.0757584716
1500,-5,88.4040190442
1500,0,88.5159695359
1500,5,88.4040190442
1500,10,88.0757584716
1500,15,87.5430106456
1500,20,86.7987376689
1500,25,85.8040917596
1500,30,84.5001569201
1500,35,82.8388203996
1500,40,80.8231982705
1500,45,78.5628818615
1500,50,76.3430687441
1500,55,74.6030459662
1500,60,73.6321233362
1500,65,73.2735001496
1500,70,73.1287005154
1500,75,72.8416614342
1500,80,72.1265283304
1500,85,70.6758593356
1500,90,67.9987008
1640.14502128,-90,67.4965786826
1640.14502128,-85,70.6294668731
1640.14502128,-80,72.8790868782
1640.14502128,-75,74.5715133911
1640.14502128,-70,75.9686991353
1640.14502128,-65,77.2707585199
1640.14502128,-60,78.612814124
1640.14502128,-55,80.0459306061
1640.14502128,-50,81.5331205468
1640.14502128,-45,82.9761667164
1640.14502128,-40,84.2583810352
1640.14502128,-35,85.2803778774
1640.14502128,-30,85.9811085293
1640.14502128,-25,86.3494913313
1640.14502128,-20,86.4317065826
1640.14502128,-15,86.3284443591
1640.14502128,-10,86.1661095186
1640.14502128,-5,86.0434625113
1640.14502128,0,86.0007827246
1640.14502128,5,86.0434625113
1640.14502128,10,86.1661095186
1640.14502128,15,86.3284443591
1640.14502128,20,86.4317065826
1640.14502128,25,86.3494913313
1640.14502128,30,85.9811085293
1640.14502128,35,85.2803778774
1640.14502128,40,84.2583810352
1640.14502128,45,82.9761667164
1640.14502128,50,81.5331205468
1640.14502128,55,80.0459306061
1640.14502128,60,78.612814124
1640.14502128,65,77.2707585199
1640.14502128,70,75.9686991353
1640.14502128,75,74.5715133911
1640.14502128,80,72.8790868782
1640.14502128,85,70.6294668731
1640.14502128,90,67.4965786826
1793.38379389,-90,68.1665892272
1793.38379389,-85,71.7627242041
1793.38379389,-80,74.3147417982
1793.38379389,-75,75.9946994822
1793.38379389,-70,77.1059921568
1793.38379389,-65,77.9106115084
1793.38379389,-60,78.6603111106
1793.38379389,-55,79.5810925586
1793.38379389,-50,80.8014956213
1793.38379389,-45,82.2907611187
1793.38379389,-40,83.8799857956
1793.38379389,-35,85.351882217
1793.38379389,-30,86.5253284178
1793.38379389,-25,87.2956937231
1793.38379389,-20,87.6443553443
1793.38379389,-15,87.639331959
